camp_airport_dist_km,AirportID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabaseTimezone,Type,team,city_camp,country_camp,camp_name,camp_lat,camp_long
20.168428906030286,3667,Fairchild Air Force Base,Spokane,USA,SKA,KSKA,47.6151008606,-117.65599823,2461,-8,A,America/Los_Angeles,airport,Egypt,Spokane,USA,Gonzaga University,47.668,-117.3985
39.27867197689931,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,USA,DFW,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago,airport,Czechia,Dallas,USA,Mansfield Multipurpose Stadium,32.555,-97.144
34.34987316141545,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,USA,DFW,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago,airport,Sweden,Dallas,USA,FC Dallas Stadium,33.1546,-96.835
44.39354575423879,3672,McChord Air Force Base,Tacoma,USA,TCM,KTCM,47.1376991272,-122.475997925,322,-8,A,America/Los_Angeles,airport,Belgium,Renton,USA,Seattle Sounders FC Performance Centre and Clubhouse,47.4995,-122.227
22.049901606346662,3673,Austin Bergstrom International Airport,Austin,USA,AUS,KAUS,30.194499969482425,-97.6698989868164,542,-6,A,America/Chicago,airport,Saudi Arabia,Austin,USA,Austin FC Stadium,30.3881,-97.7196
5.854491889204036,3674,Rickenbacker International Airport,Columbus,USA,LCK,KLCK,39.813801,-82.927803,744,-5,A,America/New_York,airport,Ecuador,Columbus,USA,Columbus Crew Performance Centre,39.857,-82.967
48.45438309166365,3679,Millville Municipal Airport,Millville,USA,MIV,KMIV,39.367802,-75.072197,85,-5,A,America/New_York,airport,Haiti,New York New Jersey,USA,Stockton University,39.501,-74.535
57.9206161982749,3679,Millville Municipal Airport,Millville,USA,MIV,KMIV,39.367802,-75.072197,85,-5,A,America/New_York,airport,Ivory Coast,Philadelphie,USA,Philadelphia Union,39.8322,-75.3784
39.26946084590534,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,USA,ATL,KATL,33.6367,-84.428101,1026,-5,A,America/New_York,airport,Uzbekistan,Atlanta,USA,Atlanta United Training Centre,33.969,-84.572
7.909297487261045,3690,Nashville International Airport,Nashville,USA,BNA,KBNA,36.1245002746582,-86.6781997680664,599,-6,A,America/Chicago,airport,Japan,Nashville,USA,Nashville SC,36.13,-86.766
15.353029198256069,3697,La Guardia Airport,New York,USA,LGA,KLGA,40.77719879,-73.87259674,21,-5,A,America/New_York,airport,Brazil,New York New Jersey,USA,Columbia Park Training Facility,40.792,-74.0539
60.92076075560761,3697,La Guardia Airport,New York,USA,LGA,KLGA,40.77719879,-73.87259674,21,-5,A,America/New_York,airport,Morocco,New York New Jersey,USA,The Pingry School,40.668,-74.581
55.17052593806708,3697,La Guardia Airport,New York,USA,LGA,KLGA,40.77719879,-73.87259674,21,-5,A,America/New_York,airport,Senegal,New York New Jersey,USA,Rutgers University,40.524,-74.435
52.61254748973932,3702,Hillsboro Municipal Airport,Hillsboro,USA,\N,KINJ,32.08349991,-97.09719849,686,-6,A,America/Chicago,airport,Czechia,Dallas,USA,Mansfield Multipurpose Stadium,32.555,-97.144
34.10426638776271,3714,Washington Dulles International Airport,Washington,USA,IAD,KIAD,38.94449997,-77.45580292,312,-5,A,America/New_York,airport,Croatia,Alexandria,USA,Episcopal High School,38.808,-77.103
5.887583188443699,3716,Felts Field,Spokane,USA,SFF,KSFF,47.682800292969,-117.32299804688,1953,-8,A,America/Los_Angeles,airport,Egypt,Spokane,USA,Gonzaga University,47.668,-117.3985
10.17163150915195,3720,Portland International Airport,Portland,USA,PDX,KPDX,45.58869934,-122.5979996,31,-8,A,America/Los_Angeles,airport,Jordan,Portland,USA,University of Portland,45.572,-122.7265
34.77658269883072,3722,Palm Beach International Airport,West Palm Beach,USA,PBI,KPBI,26.68320083618164,-80.09559631347656,19,-5,A,America/New_York,airport,Curaçao,Boca Raton,USA,Florida Atlantic University,26.3705,-80.102
23.48973452934135,3722,Palm Beach International Airport,West Palm Beach,USA,PBI,KPBI,26.68320083618164,-80.09559631347656,19,-5,A,America/New_York,airport,Portugal,Palm Beach Gardens,USA,Gardens North County District Park,26.8915,-80.135
35.84290438164767,3723,Fort Worth Meacham International Airport,Fort Worth,USA,FTW,KFTW,32.819801,-97.362396,710,-6,A,America/Chicago,airport,Czechia,Dallas,USA,Mansfield Multipurpose Stadium,32.555,-97.144
61.68912986313739,3723,Fort Worth Meacham International Airport,Fort Worth,USA,FTW,KFTW,32.819801,-97.362396,710,-6,A,America/Chicago,airport,Sweden,Dallas,USA,FC Dallas Stadium,33.1546,-96.835
6.574846757667825,3726,Boeing Field King County International Airport,Seattle,USA,BFI,KBFI,47.529998779296875,-122.302001953125,21,-8,A,America/Los_Angeles,airport,Belgium,Renton,USA,Seattle Sounders FC Performance Centre and Clubhouse,47.4995,-122.227
40.60507044246469,3731,San Diego International Airport,San Diego,USA,SAN,KSAN,32.7336006165,-117.190002441,17,-8,A,America/Los_Angeles,airport,Iran,Tijuana,MEX,Centro Xoloitzcuintle,32.4793,-116.8789
4.054186686660222,3731,San Diego International Airport,San Diego,USA,SAN,KSAN,32.7336006165,-117.190002441,17,-8,A,America/Los_Angeles,airport,New Zealand,San Diego,USA,University of San Diego - Torero Stadium,32.77,-117.1875
24.20283648011748,3731,San Diego International Airport,San Diego,USA,SAN,KSAN,32.7336006165,-117.190002441,17,-8,A,America/Los_Angeles,airport,Switzerland,San Diego,USA,SDJA,32.9481,-117.234
44.68715500784746,3734,Ontario International Airport,Ontario,USA,ONT,KONT,34.055999755859375,-117.60099792480467,944,-8,A,America/Los_Angeles,airport,USA,Irvine,USA,Great Park Sports Complex,33.6713,-117.741
63.499297186922064,3740,Cape May County Airport,Wildwood,USA,WWD,KWWD,39.0084991455,-74.9083023071,23,-5,A,America/New_York,airport,Haiti,New York New Jersey,USA,Stockton University,39.501,-74.535
49.157347734280854,3748,Norman Y. Mineta San Jose International Airport,San Jose,USA,SJC,KSJC,37.362598,-121.929001,62,-8,A,America/Los_Angeles,airport,Australia,San Francisco Bay Area,USA,Oakland Roots/Soul Training Facility,37.7505,-122.1965
1.8461445653168507,3748,Norman Y. Mineta San Jose International Airport,San Jose,USA,SJC,KSJC,37.362598,-121.929001,62,-8,A,America/Los_Angeles,airport,Paraguay,San Francisco Bay Area,USA,Spartan Soccer Complex,37.346,-121.9285
41.87717274668138,3750,Northeast Philadelphia Airport,Philadelphia,USA,PNE,KPNE,40.081902,-75.010597,120,-5,A,America/New_York,airport,Ivory Coast,Philadelphie,USA,Philadelphia Union,39.8322,-75.3784
