country,opponent,commence_time,venue,p_win,closeness,trends_interest_per_capita,game_weight_for_country
Belgium,Egypt,2026-06-15T19:00:00Z,home,0.5681323173991291,0.8923289053161562,69000000.0,615.7069446681478
Czech Republic,South Africa,2026-06-18T16:00:00Z,home,0.4662980955211586,0.962734900772063,63000000.0,606.5229874863998
Czech Republic,Mexico,2026-06-25T01:00:00Z,home,0.2467425452655173,0.9626170172651494,63000000.0,606.4487208770441
Ivory Coast,Curaçao,2026-06-25T20:00:00Z,away,0.7156413411965213,0.7114477822386777,84000000.0,597.6161370804892
Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,home,0.6059795378427127,0.8523975357822409,69600000.0,593.2686849044396
Scotland,Morocco,2026-06-19T22:00:00Z,home,0.2492577300285842,0.9693472649828604,60500000.0,586.4550953146305
Portugal,Uzbekistan,2026-06-23T17:00:00Z,home,0.780376966659271,0.605193793141346,94500000.0,571.9081345185721
Qatar,Switzerland,2026-06-13T19:00:00Z,home,0.0882319975482674,0.670026150228556,83200000.0,557.4617569901586
Bosnia & Herzegovina,Canada,2026-06-12T19:00:00Z,away,0.2167389790196351,0.9310115130922966,59400000.0,553.0208387768241
Belgium,Iran,2026-06-21T19:00:00Z,home,0.660997075836671,0.7872954340641494,69000000.0,543.233849504263
Bosnia & Herzegovina,Qatar,2026-06-24T19:00:00Z,home,0.5499507294609177,0.9046642994229948,59400000.0,537.3705938572589
Haiti,Scotland,2026-06-14T01:00:00Z,home,0.1312833781709722,0.7838717264475732,68400000.0,536.1682608901401
Bosnia & Herzegovina,Switzerland,2026-06-18T19:00:00Z,away,0.1595345563272411,0.8523975357822409,59400000.0,506.3241362546511
Jordan,Austria,2026-06-17T04:00:00Z,away,0.1095706714170941,0.7224298025551159,70000000.0,505.70086178858116
Haiti,Morocco,2026-06-24T22:00:00Z,away,0.1067748914087584,0.7236875732516449,68400000.0,495.00230010412514
Scotland,Haiti,2026-06-14T01:00:00Z,away,0.6656778998963142,0.7838717264475732,60500000.0,474.24239450078176
Belgium,New Zealand,2026-06-27T03:00:00Z,away,0.7393917584828956,0.6785819450862292,69000000.0,468.2215421094981
Panama,Ghana,2026-06-17T23:00:00Z,away,0.2594202712449828,0.9638975657692735,48400000.0,466.52642183232837
Switzerland,Qatar,2026-06-13T19:00:00Z,away,0.7423929325499605,0.670026150228556,69600000.0,466.338200559075
Scotland,Brazil,2026-06-24T22:00:00Z,home,0.1213506675408487,0.7620564601600168,60500000.0,461.04415839681013
Austria,Algeria,2026-06-28T02:00:00Z,away,0.4441337454413406,0.97560934848284,45000000.0,439.02420681727796
Paraguay,Turkey,2026-06-20T03:00:00Z,away,0.2786329308903773,0.9848464366238068,42000000.0,413.63550338199883
Paraguay,Australia,2026-06-26T02:00:00Z,home,0.4323114425035614,0.980520385069706,42000000.0,411.8185617292765
Paraguay,USA,2026-06-13T01:00:00Z,away,0.2517021881089473,0.960062779385906,42000000.0,403.22636734208055
Jordan,Argentina,2026-06-28T02:00:00Z,home,0.069852940267042,0.5734496159709885,70000000.0,401.414731179692
Panama,Croatia,2026-06-23T23:00:00Z,home,0.1407772059625521,0.8272613519351831,48400000.0,400.3944943366286
Austria,Argentina,2026-06-22T17:00:00Z,away,0.1760154698767063,0.8859275125000925,45000000.0,398.66738062504163
Norway,Senegal,2026-06-23T00:00:00Z,home,0.449558089773376,0.9735362766185184,38500000.0,374.8114664981296
Norway,France,2026-06-26T19:00:00Z,home,0.192485163317879,0.9040815926006152,38500000.0,348.07141315123687
Croatia,Ghana,2026-06-27T21:00:00Z,home,0.5421329005144228,0.9129012987531177,36000000.0,328.6444675511223
